size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
128,2,32,500,8192,0,0,l2,0.90487,304,40
128,2,32,500,8192,0,0,cos,0.90895,304,40
64,2,32,500,8192,0,0,l2,0.89316,305,40
64,2,32,500,8192,0,0,cos,0.89392,305,40
64,2,5,500,8192,0,0,l2,0.91774,39,70
64,2,5,500,8192,0,0,cos,0.91927,39,70
64,2,8,500,8192,0,0,l2,0.90138,18,70
64,2,8,500,8192,0,0,cos,0.90357,18,70
64,2,10,500,8192,0,0,l2,0.89197,15,70
64,2,10,500,8192,0,0,cos,0.89991,15,70
64,2,27,500,8192,0,0,l2,0.90350,15,70
64,2,27,500,8192,0,0,cos,0.90282,390,70
64,2,32,500,8192,0,0,l2,0.90733,11,70
64,2,32,500,8192,0,0,cos,0.91438,12,70
64,2,1,500,8192,0,0,l2,0.90467,401,80
64,2,1,500,8192,0,0,cos,0.90216,401,80
64,2,2,500,8192,0,0,l2,0.90306,159,80
64,2,2,500,8192,0,0,cos,0.91035,151,80
64,2,5,500,8192,0,0,l2,0.90246,19,80
64,2,5,500,8192,0,0,cos,0.90107,17,80
64,2,8,500,8192,0,0,l2,0.90655,350,80
64,2,8,500,8192,0,0,cos,0.90700,318,80
64,2,10,500,8192,0,0,l2,0.91398,18,80
64,2,10,500,8192,0,0,cos,0.92094,18,80
64,2,27,500,8192,0,0,l2,0.90975,14,80
64,2,27,500,8192,0,0,cos,0.91429,14,80
64,2,32,500,8192,0,0,l2,0.90232,14,80
64,2,32,500,8192,0,0,cos,0.91075,14,80
128,2,1,500,8192,0,0,l2,0.91574,494,60
128,2,1,500,8192,0,0,cos,0.91084,460,60
128,2,2,500,8192,0,0,l2,0.91663,83,60
128,2,2,500,8192,0,0,cos,0.91318,82,60
128,2,5,500,8192,0,0,l2,0.91561,40,60
128,2,5,500,8192,0,0,cos,0.91201,40,60
128,2,8,500,8192,0,0,l2,0.90977,369,60
128,2,8,500,8192,0,0,cos,0.91093,499,60
128,2,10,500,8192,0,0,l2,0.90868,325,60
128,2,10,500,8192,0,0,cos,0.91017,325,60
128,2,27,500,8192,0,0,l2,0.90733,8,60
128,2,27,500,8192,0,0,cos,0.91197,9,60
128,2,32,500,8192,0,0,l2,0.90491,281,60
128,2,32,500,8192,0,0,cos,0.90840,8,60
